subject,level,category
Home Economics,International Baccalaureate,
Home Economics,Degree (or higher),
Home Economics,Nationals 4 and 5,
Home Economics,Scottish Highers,
Marketing,A-Level,
Marketing,Degree (or higher),
Marketing,Scottish Highers,
Resistant Materials,Primary (up to 11 years),
Resistant Materials,GCSE (15-16 years),
Resistant Materials,A-Level,
Resistant Materials,International Baccalaureate,
Resistant Materials,Degree (or higher),
Resistant Materials,Nationals 4 and 5,
Resistant Materials,Scottish Highers,
Social Work,A-Level,
Social Work,Degree (or higher),
Social Work,Scottish Highers,
"Spelling, Punctuation and Grammar",Primary (up to 11 years),
Systems and Control,Primary (up to 11 years),
Systems and Control,GCSE (15-16 years),
Systems and Control,A-Level,
Systems and Control,International Baccalaureate,
Systems and Control,Degree (or higher),
Systems and Control,Nationals 4 and 5,
Systems and Control,Scottish Highers,
Textiles,Primary (up to 11 years),
Textiles,GCSE (15-16 years),
Textiles,A-Level,
Textiles,International Baccalaureate,
Textiles,Degree (or higher),
Textiles,Nationals 4 and 5,
Textiles,Scottish Highers,
