subject,level,category
Spanish,A-Level,Languages
Spanish,International Baccalaureate,Languages
Spanish,Adult / Casual learner,Languages
Spanish,Nationals 4 and 5,Languages
Spanish,Scottish Highers,Languages
Swedish,Primary (up to 11 years),Languages
Swedish,Primary (up to 11 years),Languages
Swedish,GCSE (15-16 years),Languages
Swedish,A-Level,Languages
Swedish,International Baccalaureate,Languages
Swedish,Adult / Casual learner,Languages
Swedish,Nationals 4 and 5,Languages
Swedish,Scottish Highers,Languages
Tamil,Primary (up to 11 years),Languages
Tamil,Primary (up to 11 years),Languages
Tamil,GCSE (15-16 years),Languages
Tamil,A-Level,Languages
Tamil,International Baccalaureate,Languages
Tamil,Adult / Casual learner,Languages
Tamil,Nationals 4 and 5,Languages
Tamil,Scottish Highers,Languages
Telugu,Primary (up to 11 years),Languages
Telugu,Primary (up to 11 years),Languages
Telugu,GCSE (15-16 years),Languages
Telugu,A-Level,Languages
Telugu,International Baccalaureate,Languages
Telugu,Adult / Casual learner,Languages
Telugu,Nationals 4 and 5,Languages
Telugu,Scottish Highers,Languages
Thai,Primary (up to 11 years),Languages
Thai,Primary (up to 11 years),Languages
Thai,GCSE (15-16 years),Languages
Thai,A-Level,Languages
Thai,International Baccalaureate,Languages
Thai,Adult / Casual learner,Languages
Thai,Nationals 4 and 5,Languages
Thai,Scottish Highers,Languages
Turkish,Primary (up to 11 years),Languages
Turkish,Primary (up to 11 years),Languages
Turkish,GCSE (15-16 years),Languages
Turkish,A-Level,Languages
Turkish,International Baccalaureate,Languages
Turkish,Adult / Casual learner,Languages
Turkish,Nationals 4 and 5,Languages
Turkish,Scottish Highers,Languages
Ukrainian,Primary (up to 11 years),Languages
Ukrainian,Primary (up to 11 years),Languages
Ukrainian,GCSE (15-16 years),Languages
Ukrainian,A-Level,Languages
Ukrainian,International Baccalaureate,Languages
Ukrainian,Adult / Casual learner,Languages
Ukrainian,Nationals 4 and 5,Languages
Ukrainian,Scottish Highers,Languages
Urdu,Primary (up to 11 years),Languages
Urdu,Primary (up to 11 years),Languages
Urdu,GCSE (15-16 years),Languages
Urdu,A-Level,Languages
Urdu,International Baccalaureate,Languages
Urdu,Adult / Casual learner,Languages
Urdu,Nationals 4 and 5,Languages
Urdu,Scottish Highers,Languages
Vietnamese,Primary (up to 11 years),Languages
Vietnamese,Primary (up to 11 years),Languages
Vietnamese,GCSE (15-16 years),Languages
Vietnamese,A-Level,Languages
Vietnamese,International Baccalaureate,Languages
Vietnamese,Adult / Casual learner,Languages
Vietnamese,Nationals 4 and 5,Languages
Vietnamese,Scottish Highers,Languages
Welsh,Primary (up to 11 years),Languages
Welsh,Primary (up to 11 years),Languages
Welsh,GCSE (15-16 years),Languages
Welsh,A-Level,Languages
Welsh,International Baccalaureate,Languages
Welsh,Adult / Casual learner,Languages
Welsh,Nationals 4 and 5,Languages
Welsh,Scottish Highers,Languages
Further Maths,A-Level,Maths
Further Maths,International Baccalaureate,Maths
Further Maths,Degree (or higher),Maths
Further Maths,Adult / Casual learner,Maths
Further Maths,Scottish Highers,Maths
Maths,Primary (up to 11 years),Maths
Maths,Primary (up to 11 years),Maths
Maths,GCSE (15-16 years),Maths
Maths,A-Level,Maths
Maths,International Baccalaureate,Maths
Maths,Degree (or higher),Maths
Maths,Adult / Casual learner,Maths
Maths,Nationals 4 and 5,Maths
Maths,Scottish Highers,Maths
Mechanics,A-Level,Maths
Mechanics,Degree (or higher),Maths
Mechanics,Adult / Casual learner,Maths
Mechanics,Scottish Highers,Maths
Pure Maths,A-Level,Maths
Pure Maths,Degree (or higher),Maths
Pure Maths,Adult / Casual learner,Maths
Pure Maths,Scottish Highers,Maths
Statistics,A-Level,Maths
Statistics,Degree (or higher),Maths
Statistics,Adult / Casual learner,Maths
Statistics,Scottish Highers,Maths
Bagpipes,Adult / Casual learner,Music
Banjo,Adult / Casual learner,Music
Bass Guitar,Adult / Casual learner,Music
Bassoon,Adult / Casual learner,Music
Cello,Adult / Casual learner,Music
Clarinet,Adult / Casual learner,Music
Composition,Adult / Casual learner,Music
Conducting,Adult / Casual learner,Music
Cornet,Adult / Casual learner,Music
Double Bass,Adult / Casual learner,Music
Drums,Adult / Casual learner,Music
Euphonium,Adult / Casual learner,Music
Flugel Horn,Adult / Casual learner,Music
French Horn,Adult / Casual learner,Music
Guitar,Adult / Casual learner,Music
Harmonica,Adult / Casual learner,Music
Harp,Adult / Casual learner,Music
Harpsichord,Adult / Casual learner,Music
Keyboard,Adult / Casual learner,Music
Mandolin,Adult / Casual learner,Music
Music,Primary (up to 11 years),Music
Music,Primary (up to 11 years),Music
Music,GCSE (15-16 years),Music
Music,A-Level,Music
Music,Degree (or higher),Music
Music,Adult / Casual learner,Music
Music,Nationals 4 and 5,Music
Music Production,Degree (or higher),Music
Music Production,Adult / Casual learner,Music
Music Technology,Adult / Casual learner,Music
Music Theory,Adult / Casual learner,Music
Oboe,Adult / Casual learner,Music
Organ,Adult / Casual learner,Music
Percussion,Adult / Casual learner,Music
Piano,Adult / Casual learner,Music
Piccolo,Adult / Casual learner,Music
Recorder,Adult / Casual learner,Music
Saxophone,Adult / Casual learner,Music
Singing,Adult / Casual learner,Music
Sitar,Adult / Casual learner,Music
Tenor Horn,Adult / Casual learner,Music
Trombone,Adult / Casual learner,Music
Trumpet,Adult / Casual learner,Music
Tuba,Adult / Casual learner,Music
Ukulele,Adult / Casual learner,Music
Viola,Adult / Casual learner,Music
Violin,Adult / Casual learner,Music
Primary,Adult / Casual learner,Primary and Early Years
Astronomy,GCSE (15-16 years),Science
Astronomy,A-Level,Science
Astronomy,International Baccalaureate,Science
Astronomy,Degree (or higher),Science
Astronomy,Adult / Casual learner,Science
Astronomy,Nationals 4 and 5,Science
Astronomy,Scottish Highers,Science
Biochemistry,GCSE (15-16 years),Science
Biochemistry,A-Level,Science
Biochemistry,International Baccalaureate,Science
Biochemistry,Degree (or higher),Science
Biochemistry,Adult / Casual learner,Science
Biochemistry,Nationals 4 and 5,Science
Biochemistry,Scottish Highers,Science
Biology,GCSE (15-16 years),Science
Biology,A-Level,Science
Biology,International Baccalaureate,Science
Biology,Degree (or higher),Science
Biology,Adult / Casual learner,Science
Biology,Nationals 4 and 5,Science
Biology,Scottish Highers,Science
Biomedical Science,GCSE (15-16 years),Science
Biomedical Science,A-Level,Science
Biomedical Science,International Baccalaureate,Science
Biomedical Science,Degree (or higher),Science
Biomedical Science,Adult / Casual learner,Science
Biomedical Science,Nationals 4 and 5,Science
Biomedical Science,Scottish Highers,Science
Chemistry,GCSE (15-16 years),Science
Chemistry,A-Level,Science
Chemistry,International Baccalaureate,Science
Chemistry,Degree (or higher),Science
Chemistry,Adult / Casual learner,Science
Chemistry,Nationals 4 and 5,Science
Chemistry,Scottish Highers,Science
Environmental Science,GCSE (15-16 years),Science
Environmental Science,A-Level,Science
Environmental Science,International Baccalaureate,Science
Environmental Science,Degree (or higher),Science
Environmental Science,Adult / Casual learner,Science
Environmental Science,Nationals 4 and 5,Science
Environmental Science,Scottish Highers,Science
Geology,GCSE (15-16 years),Science
Geology,A-Level,Science
Geology,International Baccalaureate,Science
Geology,Degree (or higher),Science
Geology,Adult / Casual learner,Science
Geology,Nationals 4 and 5,Science
Geology,Scottish Highers,Science
Physics,GCSE (15-16 years),Science
Physics,A-Level,Science
Physics,International Baccalaureate,Science
Physics,Degree (or higher),Science
Physics,Adult / Casual learner,Science
Physics,Nationals 4 and 5,Science
Physics,Scottish Highers,Science
Physiology,GCSE (15-16 years),Science
Physiology,A-Level,Science
Physiology,International Baccalaureate,Science
Physiology,Degree (or higher),Science
Physiology,Adult / Casual learner,Science
Physiology,Nationals 4 and 5,Science
Physiology,Scottish Highers,Science
Science,Primary (up to 11 years),Science
Science,Primary (up to 11 years),Science
Science,GCSE (15-16 years),Science
Science,A-Level,Science
Science,International Baccalaureate,Science
Science,Adult / Casual learner,Science
Science,Nationals 4 and 5,Science
Science,Scottish Highers,Science
Accordion,Adult / Casual learner,
Afrikaans,Primary (up to 11 years),
Afrikaans,Primary (up to 11 years),
Afrikaans,GCSE (15-16 years),
Afrikaans,A-Level,
Afrikaans,International Baccalaureate,
Afrikaans,Adult / Casual learner,
Afrikaans,Nationals 4 and 5,
Afrikaans,Scottish Highers,
Bengali,Primary (up to 11 years),
Bengali,Primary (up to 11 years),
Bengali,GCSE (15-16 years),
Bengali,A-Level,
Bengali,International Baccalaureate,
Bengali,Adult / Casual learner,
Bengali,Nationals 4 and 5,
Bengali,Scottish Highers,
Catalan,Primary (up to 11 years),
Catalan,Primary (up to 11 years),
Catalan,GCSE (15-16 years),
Catalan,A-Level,
Catalan,International Baccalaureate,
Catalan,Adult / Casual learner,
Catalan,Nationals 4 and 5,
Catalan,Scottish Highers,
Child Development,Primary (up to 11 years),
Child Development,GCSE (15-16 years),
Child Development,A-Level,
Child Development,International Baccalaureate,
Child Development,Degree (or higher),
Child Development,Adult / Casual learner,
Child Development,Nationals 4 and 5,
Child Development,Scottish Highers,
Criminology,A-Level,
Criminology,Degree (or higher),
Criminology,Adult / Casual learner,
Criminology,Scottish Highers,
Finance,A-Level,
Finance,Degree (or higher),
Finance,Adult / Casual learner,
Finance,Scottish Highers,
Food and Nutrition,Primary (up to 11 years),
Food and Nutrition,GCSE (15-16 years),
Food and Nutrition,A-Level,
Food and Nutrition,International Baccalaureate,
Food and Nutrition,Degree (or higher),
Food and Nutrition,Adult / Casual learner,
Food and Nutrition,Nationals 4 and 5,
Food and Nutrition,Scottish Highers,
Functional Skills,Adult / Casual learner,
Gender and Sexuality Studies,Primary (up to 11 years),
Gender and Sexuality Studies,Primary (up to 11 years),
Gender and Sexuality Studies,GCSE (15-16 years),
Gender and Sexuality Studies,A-Level,
Gender and Sexuality Studies,International Baccalaureate,
Gender and Sexuality Studies,Degree (or higher),
Gender and Sexuality Studies,Adult / Casual learner,
Gender and Sexuality Studies,Nationals 4 and 5,
Gender and Sexuality Studies,Scottish Highers,
Home Economics,Primary (up to 11 years),
Home Economics,GCSE (15-16 years),
Home Economics,A-Level,
Home Economics,International Baccalaureate,
Home Economics,Degree (or higher),
Home Economics,Adult / Casual learner,
Home Economics,Nationals 4 and 5,
Home Economics,Scottish Highers,
Marketing,A-Level,
Marketing,Degree (or higher),
Marketing,Adult / Casual learner,
Marketing,Scottish Highers,
QTS,Adult / Casual learner,
Resistant Materials,Primary (up to 11 years),
Resistant Materials,GCSE (15-16 years),
Resistant Materials,A-Level,
Resistant Materials,International Baccalaureate,
Resistant Materials,Degree (or higher),
Resistant Materials,Adult / Casual learner,
Resistant Materials,Nationals 4 and 5,
Resistant Materials,Scottish Highers,
Social Work,A-Level,
Social Work,Degree (or higher),
Social Work,Adult / Casual learner,
Social Work,Scottish Highers,
"Spelling, Punctuation and Grammar",Primary (up to 11 years),
"Spelling, Punctuation and Grammar",Primary (up to 11 years),
"Spelling, Punctuation and Grammar",Adult / Casual learner,
Systems and Control,Primary (up to 11 years),
Systems and Control,GCSE (15-16 years),
Systems and Control,A-Level,
Systems and Control,International Baccalaureate,
Systems and Control,Degree (or higher),
Systems and Control,Adult / Casual learner,
Systems and Control,Nationals 4 and 5,
Systems and Control,Scottish Highers,
Textiles,Primary (up to 11 years),
Textiles,GCSE (15-16 years),
Textiles,A-Level,
Textiles,International Baccalaureate,
Textiles,Degree (or higher),
Textiles,Adult / Casual learner,
Textiles,Nationals 4 and 5,
Textiles,Scottish Highers,
